user,tweet,sentimen
ZamzamZamzamy,"Yg gw ngga ngerti, ini yg diributin tentang RKUHP pasal pasal yg emang udah ada kian. Contoh: pasal kumpul kebo, pasal sex yg bukan suami istri. 
&amp; tentang pasal aborsi. Dari semua artikel yg dibaca, aborsi karena korban perkosaan masuk pengecualian. Sebenarnya pd baca ngga sih?",positif
zamrud02,Yg gue pikirin kalo rkuhp di resmikan cuma berarti gue harus mengulang matakuliah tindak pidana tertentu dalam kuhp lagi aja 🤧🤧🤧,positif
zamronimakruf,"Yg gua tangkep dpr pnya argumen cukup kuat di rkuhp doang, sisanya seperti ruu kpk cuma bs bermain narasi aka muter muterin statement yg point pentingnya tuh gaada wkwk tp entah, gua ambil kesimpulan sebelum demo akbar 2 hari ini terjadi sih",positif
zalzalia_,Yg ditunda kan cuma pengesahan aja kan ya? Jadi tetep bakalan sah juga dengan bentukan yg sama itu RKUHP kan?,positif
zahwadn,yes we almost make it!!! rkuhp ditunda yoohoooo!!!,positif
yyyjw,"Yang terbaca melalui mata; “Presiden menunda pengesahan RUU KUHP.”
Namun yang terbaca melalui nalar; “Presiden menunda kemarahan publik.”

Presiden Jokowi Minta DPR Tunda RKUHP https://t.co/ml3O4iWAIY",positif
yustaclaresta,"Yang ngotot PKS.
Jokowi yang menunda karena ada point"" yang perlu di revisi.

Akun"" SJW nyalahin Jokowi.
Kan bangkeee!! 😂

https://t.co/Y6fgczTrWr",positif
yusmarioA,"Yang masih kekeuh minta ""dibatalkan"" bukan ""ditunda"", berarti belum sepenuhnya mengerti mekanisme RUU jdi UU.

Yang bilang ""ga perlu"" RUU terutama RKUHP ya berarti gap umur dan pengetahuan kita besar sekali hehe.",positif
yunspong,"Yang katanya harus baca dulu sebelum berkomentar atau aksi. Nih file-nya. Unduh yang RKUHP versi siap disahkan:
https://t.co/WfDcxXMCK9

Mamam 273 halaman ~~~",positif
yunniw,"Yang juga patut dicemaskan selain kebakaran hutan, pelemahan KPK, dan RKUHP yang amburadul? Regulasi tembakau yang tidak berpihak pada kesehatan publik. #HukumPembakarHutan #ReformasiDikorupsi #TundaRKUHP #NoTobacco https://t.co/wLsGNH7qIF",positif
yunithalaqad,"yang jadi masalah itu multitarsir ttg rkuhp, kan sudah ditunda lalu kok jadi masalah? maunya ditolak bukan ditunda, trus dpr kerja apa? https://t.co/85Eyco9ntn via @YouTube",positif
yunitaaaw__,"Yang ikut aksi kan nuntutnya RKUHP dibatalkan ya. Jokowi sudah menunda pengesahannya, mungkin masih banyak yang mau direvisi pas periode keduanya nanti. Terus ini kenapa yang jadi trending turunkan jokowi? Sungguh tidak nyambung menurut gue sih.",positif
yuniarhp,"Yang ditunda RKUHP bukan ORDE BARU

Sekedar mengingatkan https://t.co/5lS8nzAXbX",positif
yunian_blogspot,"Yang ditolak seluruh RKUHP atau pasal-pasalngaco RKUHP? Tujuan RKUHP itu mau buat kodifikasi hukum pidana nasional, meninggalkan kodifikasi hukum pidana kolonial. Eh, ternyata disusupi pasal-pasal ngaco yang lebih buruk dari pidana kolonial.",positif
yuma65640757,Yang di alami masyarakat saat ini mengenai RKUHP dan Revisi UU KPK adalah krisis kepercayaan. Dimana masyarakat sudah terlanjur menilai DPR dan pemerintah memiliki kinerja yang buruk serta beberap dari mereka melakukan korupsi. #MAHASISWABERSATU,positif
yulisauyu,"yang butuh kajian komperhensif mengenai “yang sedang terjadi”, boleh banget baca ini! i’m just gonna drop it here! semoga bermanfaat❤️

https://t.co/j0mUPW5yqm",positif
yuerekk,"Yang belum pernah baca KUHP dan RKUHP tap banyak bacot.. 
kalian luar biasaaaa",positif
yudithiasinaga,"Yang belom ttd petisi ini. Yuk ttd in, biar bapak @jokowi bisa tidak mengesahkan rkuhp!
-------------------------------------------------
Hampir Sejuta Suara Bikin Presiden Tunda RKUHP. Kita Tunggu 24 Sept Kebenarannya. https://t.co/a4xes9xTus lewat @ChangeOrg_ID",positif
YUDI80267864,"yang aku bingung tuh, ada ya ternyata anak hukum yg kampanye nya 'tolak RKUHP' bukan 'tolak pasal bermasalah di RKUHP'",positif
yudhapati88,"Yakaleee rkuhp dibatalin, ditunda oke, harus bangga bos punya kuhp sendiri. Dikira bikin kuhp baru 1-2 tahun apa minta batal2in aja😂",positif
Yudhans5,"Yailah.. bocah stm gegayaan demo di tanya tolak RKUHP , di tanya isinya paling ora ngerti, Mending sekolah yang bener.",positif
yubimayn,"Yaallah jumat berkah, Palangkaraya hujan lebat dan rkuhp ditunda sm pak Jokowi, ayo nangis bareng😭😭😭",positif
yr_nia,"Ya, baiknya emang direvisi. Bukannya malah tolak RKUHP... Emang udah seharusnya diperbarui https://t.co/kXOKIL6nIT",positif
yoursadchords,"ya ngga. dengan ditunda, hal hal yg bermasalah masih bisa diselesaikan dengan diperbaiki. gue ngerti ini sindiran halus untuk DPR.

makanya, meskipun ditunda, kita harus ttp kawal. 
ga semua revisi RKUHP itu bermasalah juga sih lagian. https://t.co/vzxiGjdJII",positif
yourillegalgurl,"ya itulah demokrasi,  polemik rkuhp hari ini sudah diteriakan dan digerakan dijalan,  kepada pak jokowi dan pak bambang,  kami setuju dengan ada sprit pembaruan akan kitab yang terlalu lama yang dimiliki oleh belanda,  tapi tolong setidak tidaknya  hapuskan pasal kontroversi itu",positif
YourDamnSmile51,Ya gua paham Indonesia sedang tidak baik baik saja. Tapi dengan kalian memberikan statement yang entah darimana dan bisa di pertanggung jawabkan juga tidak ? Kalo tidak siap siap masuk penjara karena RKUHP yang mungkin akan disahkan entah di revisi lagi apa enggak,positif
yourcherrybombs,"Ya gimana, efek kemajuan teknologi mindset orang jadi berubah. Setelah liat diskusi ilc sempet mikir, iya juga kita ini Indonesia, mungkin gaada yg salah sama rkuhp, mungkin mindset kita aja yg udah berubah. Tapi gaada salahnya juga mau jadi negara liberal mah.",positif
yourbrokenroses,"ya emang belajar dengan baik lalu merubah sesuatu dari dalam juga salah satu cara untuk perubahan negeri ini, namun ada yang namanya skala prioritas. Nanti tgl 24 bisa aja beberapa RKUHP yang berisi pasal pasal membredel demokrasi disahkan. Ketika demokrasi mulai luntur apa--",positif
youradinyuu,"Ya Allah... lindungi semua elemen ( mahasiswa, siswa, buruh, petani dan masyarakat umum lainnya ) yg ikut dalam aksi demo menuntut penolakan RKUHP dan Revisi UU KPK. 
Semoga polisi bengis mendapat balasan atas kekejiannya👊👊👊 
#TurunkanJokowi",positif
yongievore,winknyaaa~ membuat saya terbang jauh menembus gedung dpr utk  revisi RKUHP (?) https://t.co/wt2F7tDVIq,positif
yohanmisero,"What if RKUHP dibatalkan dan pemerintah merasa bak pahlawan dan pro rakyat, sehingga seakan kita memaafkan Revisi UU KPK, Karhutla di Indonesia, dan ketidakadilan di Papua",positif
Yohanes_VCC,"wey pak, meskipun Wetboek Van Strafrecht buatan Kolonial Belanda bbrp pasalnya aneh tapi RKUHP jujur LEBIH ANEH LAGI. padahal katanya di INews itu karya anak bangsa, anak bangsa yang mana? gimana pak coba saya bingung :( #HidupMahasiswa https://t.co/zOAlfJ0kef",positif
YogaPratamaa6,"Waktu itu saya dapat tugas untuk mencari peristiwa berkaitan dengan pemberantasan Hak Asasi Manusia. Apakah RKUHP yg baru-baru ini dibahas merupakan salah satunya?
#JustAsking #RevisiKUHP",positif
YogaAryoW,"Wakil Ketua DPR Fahri Hamzah menilai KUHP sudah tak relevan karena merupakan warisan Belanda.

Dia menyatakan kecewa pengesahan RKUHP ditunda. https://t.co/1Ft1YoFgEY",positif
yodhita,"Wajib dikoreksi. Tdk ada yg sempurna.
https://t.co/R6KYgQEUxu

DPR sepakat untuk menunda pengesahan RUU KUHP. Menteri Hukum dan HAM (Menkumham) Yasonna Laoly menyebut isi RUU KUHP tidak dapat diulang atau diubah dari awal.",positif
yelyahwilliasm,"Viralkan ...revisi semuanya RKUHP, RUU PAS, UU KPK demi kepentingan rakyat Indonesia. https://t.co/Mu9WUXbBaB",positif
yaziddech,"UU YG ANECH. ..... 
MEMANG SBAIKNYA DIKAJI ULANG .

SAYA RASA BETUL KLAU JOKOWI MENUNDA PENGESAHAN UU TSB.
DAN KLAU MEMANG TIDAK MEMENUHI SYARAT SBAIKNYA DIGANTI SAJA. 😊

Jokowi Minta Tunda RKUHP, Nasir Djamil: Tak Ada yang Berani Lawan https://t.co/tpiXI7l0Hu",positif
yayajoleisa,"UU KPK dan RKUHP nya aja kok, untuk para pendukung yang dulu jangan sebar hoaks yah 🙅 https://t.co/1vzZtwFTmm",positif
Yahoo_ID,"Untung rkuhp ditunda, klo di sahkan ntar gabisa mangkal lg dong aq :(",positif
yadenriz,"Untuk yang masih ragu, RKUHP belum akan disahkan dalam waktu dekat, Jokowi menyatakan ada 14 Pasal yg harus dikaji ulang. Ini menandakan kemungkinan RKUHP di sahkan oleh DPR Periode selanjutnya (sumber : IG Jokowi)",positif
xylans,"Untuk pak @jokowi RKUHP ini jangan hanya ditunda, tapi tolong diperhatikan dan diperbaiki lagi pasal2 didalamnya yg mungkin saja bisa menimbulkan multi tafsir di masyarakat. 
Sekedar saran saja pak, itu para ahlinya ahli minta bikin UU yg simpel, tegas, dan tidak multi tafsir
🙏",positif
xxvvvvxxxx,"Untuk beberapa hal, gw setuju dengan revisi UU KPK, karena emang KPK butuh diperbaiki, tp beberapa pasal di RKUHP itu emang sampah! Bahkan beberapa pasal bisa beredel kebebasan!",positif
XtraFM_Rimo,"Unjuk Rasa Mahasiswa: DPR tunda pengesahan RKUHP, pemerintah pertahankan revisi UU KPK… https://t.co/hOfCxyQ5cJ",positif
xsk_0999,"Univ lain : ayo mahasiswa, turun kejalan, aksi demo, tunda rkuhp

Meanwhile
Poltekkes : ayo mahasiswa, turun kekelas, mari UTS, aksi kebut semalam, tunda nontonnya, ayo mahasiswa UTS",positif
xrkhcptmx,"Univ lain : ayo mahasiswa turun ke jalan, aksi demo, tunda rkuhp

Poltekkes : ayo mahasiswa turun ke kelas, aksi UTS, ayo mahasiswa UTS",positif
xmut11,undang dong fadli zonk sama fahri hamzah krn mereka yg menyesal RKUHP di tunda jokowi 😁😁👌☕,positif
XIIX_XIIIX,"Udahlah ini akar permasalahan yg sebenarnya adalah DPR. Mengkaji aturan kedalam RKUHP dengan seenaknya aja, ga menyuarakan aspirasi rakyat yg sbnrnya. Skrng liat deh keadaan negara malah makin runyam, aparat kena, mahasiswa kena juga. Sedangkan org DPRnya lg nyantai kali ya wkwk.",positif
xcybeyyy,"udah diskusi soal rkuhp dengan teman dan ketemu jawaban pasti soal ini. 
rkhup cocoknya direvisi di beberapa point anehnya drpd ditolak. kebaharuan penting kok asal sesuai dab disetujui rakyat",positif
wulungww,"Twitter pls do your magic!
Butuh kajian perbandingan 
-uu kuhp-ruu rkuhp
-uu koperasi lama-baru
-uu-ruu pertanahan
-uu-ruu pemasyarakatan
-uu sda lama-baru
-uu-ruu minerba
2 terakhir mgkn bagian itb. Sdh baca kajian km itb ttp uu kpk. Rasanya saya perlu kajian lainnya tsb",positif
wulandeviy,Twitter do your magic #MahasiswaHarusBelaRakyat  jokowi minta pengesahan RKUHP ditunda- Fahri hamzah : TERLAMBAT https://t.co/TLVsGlnI3c,positif
wuffsyou,"tweet ini juga mengandung doa semoga ruupks disahkan; rkuhp, ruu pas, ruu minerba dan ruu ngawur lainnya dikaji ulang dan ngga disahin dan semoga tragedi semanggi II ngga terulang hari ini",positif
WSetyorini2,Tuuh RKUHP ditunda pengesahannya.. Udah gak usah gajag gijig hahaha,positif
WPBergerak,"Turis Australia Mulai Batalkan Kunjungan, Pariwisata Bali Desak RKUHP Dikaji Ulang https://t.co/OzgnSSdPmY",positif
wordfangs__,"Tuntutan untuk bapak yg baju putih tolong ya,, ruukpk &amp; rkuhp jangan cuma ditunda tapi dibatalkan pengesahannya,, kalo emang anda ga mampu silakan anda mundur alon2 ya,,!!",positif
wonderlungs,"Tunda teroos.. 
watae ngko pengesahan terselubung https://t.co/72M1RGANfv",positif
wondergyul,"Tunda RKUHP, jkw sdh menunda.

Jgn lemahkn KPK, yg minta bubarkn KPK malah oposisi.

Minta segera disahkan RUU PKS, yg menolak jg oposisi.

Minta elit2 yg terlibat kerusakn lingkungan bertangung jwb, yg jd tersangka anak buah sandiaga uno.

Tp demonya ttp ke jokowi.
Kalian Waras?",positif
woncheol_ssi,"Tunda RKUHP itu part 1 doi, ntar cilukba aja part 2. Drama~~",positif
wonchantae,"Tunda Pengesahan RKUHP, Jokowi Disebut Kurang Bijak dan Tidak Peka https://t.co/eJfpGH8tnd",positif
womenthought_,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat
dan PSI #JokowiDengarRakyat
https://t.co/RFzqbp5V9u",positif
womencoalition,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiMendengarRakyat
https://t.co/HfqC9R0Tpr",positif
womanwithsins,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiMendengarRakyat

https://t.co/P8RlgZijEs",positif
womantalk_com,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiMendengarRakyat

https://t.co/7IBiGeh6z2",positif
wolwol,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiDengarRakyat
https://t.co/wLgTaSK3PJ",positif
wolipop,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiDengarRakyat
https://t.co/2upUcSPnnD",positif
wolffaax,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiDengarRakyat

https://t.co/LVcPo9fmi3",positif
woitailah,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiDengarRakyat

https://t.co/iBHz7iGiWB",positif
woeland72,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiDengarRakyat

https://t.co/hmSWyTuXeD",positif
wodeol99,"Tunda Pengesahan RKUHP, Dini: Terima Kasih Pak Jokowi Telah Mendengar Suara Rakyat dan PSI #JokowiDengarRakyat

https://t.co/EOzSBF0sh0",positif
woahterspoon,"Tunda Pengesahan RKUHP, Bamsoet: Kami Dengarkan Aspirasi Rakyat https://t.co/SkNfRAWTM9 https://t.co/XXhe8FXOxO",positif
wmymoon,"Tunda Pengesahan RKUHP
#IndonesiaKuDamai #Jokowi2Periode #2019pilihjokowi #beritaViral #Indonesia #BeritaNasional #BeritaTerkini  #stopprovokasi #stophoax https://t.co/4Z17rwgCxR",positif
wmserrnld,"Tunda Pembahasan RKUHP, Jokowi Dianggap Tidak Konsisten https://t.co/6FyRz6o8nY https://t.co/xRUjAcbcJs",positif
wmikhsan,Tunda dan rumuskan ulang pakde @jokowi Saya masih percaya PakDe lurus https://t.co/jRCR35gAEM,positif
wiwinoot,Tujuan mahasiswa ke gedung DPR itu untuk menolak RKUHP dan pencabutan revisi UU KPK bukan untuk menggulingkan pemerintahan yang sah.,positif
wito_karyono,"Tuh pengesahan RKUHP ditunda, Udah bisa atengan dikit ya pemirsah. Dikit.",positif
wisnupwardhana,"Tuduhan yang menyebut #PresidenJokowi hanya diam dan berkongkalikong dengan #DPR sangat tidak bertanggung jawab.
#RKUHP #stopopinisesat https://t.co/JakwNKb5sc",positif
wisnulandak,"Tuai polemik di masyarakat, Jokowi minta DPR tunda revisi RKUHP. Jokowi juga perintahkan Menkumham untuk sampaikan sikap tersebut ke DPR. #Liputan6SCTV https://t.co/rCOIWIk5u0",positif
WishnuUtomo,TS aja mumpung RKUHP ditunda. https://t.co/zcqn6hwta6,positif
wisantorooo,"trus pengkajian ulang itu rkuhp, ada anggaran rapat lagi dong? saaje dpr",positif
wirowiro2013,"Trm ksh pak @jokowi , tp alangkah lbh baik jika usulan soal RKUHP tsb dibatalkan saja, berikan ketegasan soal itu pada DPR pak.
Kalau ditunda berarti suatu saat dibahas lagi.
https://t.co/JHFbYCPpyz",positif
WinotoAang,"Tp @Gerindra tmsk yg setuju revisi UU KPK, RKUHP, RUU Minerba, UU Pertanahan kannn pak @prabowo ?  Jd yaaa sama ajaaaa https://t.co/Qv1IlLxSt0",positif
windaaa_20,"Tolong revisi RKUHP tambah pasal tentang jomblo dilarang keluar malem minggu biar gk bikin macet , (pasal 601) - jomblo klontang klantung di malem minggu kena denda 1jt rupiah atau minimal pidana 5th. #malamminggu",positif
winagogo,Tolong pahami RKUHP kita dulu. Baru demo dan turun ke jalan. Jika memang ada pasal yang bermasalah bisa diajukan ke MK.,positif
WILLYNARESTA,"Tolong elite2 politik tidak menarik2 institusi @Puspen_TNI 
Dalam memuaskan syahwat politik anda. RKUHP sudah ditunda,kembali ke Nol utk direvisi DPR periode skrg (semoga)",positif
WHOlSBRAYEN,"Tolak Pasal Karet RKUHP, Ratusan Mahasiswa di Sumbar Unjuk Rasa 

via @langgamid https://t.co/tXrG3bqJRy",positif
wennyherusaleh,"Tinggal hitungan hari hingga RKUHP disahkan.

Bersuara

Lawan

#tundademisemua",positif
wendi008,"Timbulkan polemik, Perindo minta pasal kontroversial di RKUHP dikaji ulang
https://t.co/q8Yt23BtHR | Ketum Partai Perindo @Hary_Tanoe",positif
WendelineWenn,"Timbulkan polemik, Perindo minta pasal kontroversial di RKUHP dikaji ulang
https://t.co/DptkK5KKpU | Ketum Partai Perindo @Hary_Tanoe",positif
wenangekawastu,"Timbulkan polemik, Perindo minta pasal kontroversial di RKUHP dikaji ulang
https://t.co/0JOhwsWoBs | Ketum Partai Perindo @Hary_Tanoe",positif
weilahdalah,"Tidak terlalu suka politik dan sebagainya,tapi menyikapi keramaian ini. Saya berharap pemerintah membuka mata atas kepastian RUU KPK dan RKUHP yang mengandung polemik #savekpk #kpk #tolakruukpk #RUUKPK #RKUHP",positif
weaktocuteness,"tidak munggkin ditunda ? Lah DPR e ki pie to ! 

Jokowi Minta Pengesahan RKUHP Ditunda, Fahri Hamzah: Tidak Mungkin https://t.co/hycuEwfAIu",positif
wasuckbi,"Tiba2 Mahasiswa bergerak ke DPR.
Tiba2 RKUHP ditunda Presiden.
RUU @KPK_RI tetap disahkan.
Rakyat ditipu lagi aja.
#RezimSarangKoruptor",positif
WahyuYou60,"Tetap teruskan gerakan ini walau RKUHP ditunda, itu cuma hal kecil #MahasiswaBergerak",positif
vowales,"Terkesel bet sama manusia yang blg orang2 yang turun kejalan, adalah orang2 yang ga mengkaji dulu RKUHP dengan benar. Dan bahas beberapa pasal secara gamblang. Gini nih, Pasal atau UU ga bisa hanya di baca dan langsung diartikan gitu aja.",positif
votgue,"Terkait dgn yg bpk MenKumHAM bilang bhw mahasiswa gak baca RKUHP sblm debat. Well, pertanyaan sebenernya adl kenapa MenKumHAM, anggota DPR dan staf ahli sampe hrs jelasin arti pasalnya. Bukankah itu berarti pasal-pasal tsb multi tafsir?

#HidupMahasiswa #TolakRKUHP",positif
vividasmin,"Terimakasih @jokowi @PDI_Perjuangan @psi_id @rianernesto @TsamaraDKI @daranasution_ @dini_purwono @AntoniRaja sementara perjuangan berbuah manis, RKUHP ditunda..",positif
ViviBawell,Terima ksh Bp. PRESIDEN yg telah tunda pengesahan RKUHP...yang kontroverssial .,positif
vivanewscom,"Terima kasih, Pakdhe @jokowi.. 😃🙏

Mimin @psi_id pasti bahagia.. 🥰

#TolakRKUHP 

https://t.co/CI3SvCiLbz",positif
VisionGlobal18,Terima kasih Pak @jokowi . Anda peka terhadap aspirasi rakyat. Sdh sepantasnya RKUHP ditunda supaya lebih baik. Kita kawal terus. https://t.co/4HcrgHsOLy,positif
viriando,"Terima kasih buat teman-teman elemen masyarakat sipil, mahasiswa, buruh dan yang lainnya, sudah mau turun kejalan bersama demi menunda RKUHP 🙏

Mari kita kawal terus RKUHP ini sampai selesai. 
#TetapKitaKawal #TetapKitaPantau #SemuaBisaKena #TundaRKUHP #TundaDemiSemua https://t.co/OrtAkSNces",positif
VirginiaPuspa,"Teriak-teriak tunda RKUHP tapi setuju ada Taliban di KPK. 

Teriak-teriak tunda RKUHP tapi “setuju revisi UUKPK karena akan menguatkan KPK”.

Horenso, kau memang mudah terlena.",positif
VirginiaEdmun10,"Teriak-teriak RKUHP sampah, terus ditanya sampahnya bagian mana aja bingung jawab.

Suara lantang, literasi nol.
Baca dulu pasal-pasalnya. 
Baca dulu sampahnya dimana. 

Melu gayenge tok koyo penonton dangdut koe ki.

Goblok.",positif
viedouc_,"Teman2 mahasiswa, demo nya udahan dulu ya. Aksi turun kejalan kalian tujuan baik namun output di lapangan merugikan mereka yg katanya kalian bela.

RKUHP di tunda, dan utk revisi UU KPK mending tempuh jalur konstitusional melalui MK. 

Mari, bawa masalah UU KPK ke MK.😀",positif
Vidyanataliaa,"Teman temanku, aku yakin kalian geram dengan karut-marut negara akhir akhir ini. Tapi tolong dong baca lagi hal hal yang seharusnya diperjuangkan itu apa, ini kajian dari temen temenku Dema Justicia

https://t.co/Wx0d1yNUak

Malas baca? Tonton!
https://t.co/sDg6hcPlcX",positif
victoria_82,Telat taunya. Tapi pagi ini bisa senyum lagi karena pengesahan RKUHP ditunda 👊 masih panjang jalan.. masih ada waktu.. mari kita lanjutkan!,positif
VEFONM,"Tanggapan Fahri Hamzah Soal Jokowi Minta Tunda RKUHP

Permintaan penundaan ini disampaikan Jokowi dalam jumpa pers yang digelar di Istana Kepresidenan Bogor, Jumat (20/9). #ValidNih

https://t.co/iEc4PDgLcU",positif
vanesaa1688,"Takut Kepercayaan Publik Anjlok, Jokowi Minta DPR Tunda Bahas RKUHP
https://t.co/NhybpTQKj6",positif
valhallaen,"Tak Dibatalkan, DPR: Pengesahan RKUHP Hanya Ditunda #RRI 
https://t.co/whoLx0bljm",positif
Valerieoswald9,Tak bisa semata #dialogsingkat lhawong isi RKUHP sampe 273 lembar. #besoksenin nggak ada salahnya baca dulu lalu join #gejayanmemanggil2 lantas bilang dgn lantang #angkatan2019tegakberdiri https://t.co/tZiOLygKwB,positif
valangdika,"Tadinya ingin berkeluh kesah tapi diganti syukur aja. Alhamdulillah aksinya sudah terlaksana, royyan masuk, temen temen banyak yang ikut, pendidikan politik di km itb sedikit terangkat, rkuhp ditunda, dan sadar banyak banget yg mau bantuin",positif
vacantgunners,"tadi ngumpul keluarga, trs ada mba sepupu w yg suami nya tenaga ahli pemerintah gt, trs ngomong gini ""iya mas **** pulang pagi trs bisa ga pulang jg ngurusin RKUHP pas udh mau di sahin eh presiden blg di tunda dulu hadehh"" wkwkwkwk gua mau tanggepin ga enak ya",positif
v_aji,"Syukurlah presiden tunda pengesahan RKUHP. 
Gunakan penundaan untuk merevisi draft pasal2 RUU yang bermasalah.
Jangan sampai negara justru overkriminalisasi terhadap warganya sendiri. 
#RUUKUHP",positif
v_afdal,Syukurlah ditunda dulu. Jadi huruf R masih belum hilang. RKUHP.,positif
utiindah,"Sumpah, sesenang ini rasanya tau pengesahan RKUHP ditunda. We still have time to make it right!",positif
user,"Suka Lucu kalo ada Ebong ya blg ""Soal RUU KPK bukan salah Presiden lah"" Lhaa dungu itu namanya... Kan udah jelas presiden ikutan menyetujui -_- adapun soal RKUHP Ditunda itumah cuma drama pencitraan doang. Biar dianggap pahlawan gitu, ujung2nya palingan nanti disahkan -_-",positif
UsahaKita_,"sudahkah kalian meluangkan waktu untuk benar2 membaca dan memahami draft ruukuhp? ini, bagi yang belum~ https://t.co/1g6bt4zI2S",positif
urip_murup,"Sudah jelas koq adik-adik Mahasiswa/i tuntutannya, salah satunya TUNDA penetapan RKUHP &amp; mendorong RUU P-KS. 

Kalau ada yg minta Jokowi lengser, itu tuntutan para BEDEBAH HTI, Radikalis anti Pancasila &amp; kroni2 kadal gurun, jidat gosong yg ""mendompleng"" gerakan Mahasiswa/i.",positif
UriahRumbay,sudah betul itu &amp; saya atas nama masyarakat indonesia sangat setuju jika Presiden Jokowi menunda pengesahan RKUHP &amp; akan dikaji ulang oleh anggota DPR-RI yang baru,positif
uraywikas,"Suasana makin panas, semoga lekas sembuh dan kajian rkuhp segera dikaji lagi, multitafsir iya dan publik masi minim literasi, duh (:",positif
uoposehyan,"Stop lelucon tentang RKUHP, mari hargai jerih payah dari para ahli yg telah merancang RKUHP
#stmmahasiswabersatu 
#setujuRKUHP https://t.co/xpJAPR65df",positif
undecayinglove,"Sok2an ngejelekin rkuhp iye, baca naskah akademik nye aje kagak, komen yg kaga2 iye lu",positif
UncleJames01,"Sobat gurun pada diam karena jokowi tunda RKUHP, itu yg ntotot mau kalo disahkan ya Partai Keadilan Setan",positif
